NODE_ID,X,Y,Z,HF_X,HF_Y,HF_Z
        6.,  0.470000,  0.470000,  0.210000,  0.842066,  0.842038,135.225021
        8.,  0.470000,  0.490000,  0.210000,  0.793126,  0.225061,132.368896
       10.,  0.470000,  0.510000,  0.210000,  0.791861, -0.225914,132.366989
       12.,  0.470000,  0.530000,  0.210000,  0.844611, -0.844644,135.208698
       19.,  0.490000,  0.470000,  0.210000,  0.224690,  0.792834,132.368107
       21.,  0.490000,  0.490000,  0.210000,  0.221969,  0.221816,129.786579
       23.,  0.490000,  0.510000,  0.210000,  0.221467, -0.221619,129.787754
       25.,  0.490000,  0.530000,  0.210000,  0.226282, -0.792151,132.367779
       32.,  0.510000,  0.470000,  0.210000, -0.224690,  0.792834,132.368107
       34.,  0.510000,  0.490000,  0.210000, -0.221969,  0.221816,129.786579
       36.,  0.510000,  0.510000,  0.210000, -0.221467, -0.221619,129.787754
       38.,  0.510000,  0.530000,  0.210000, -0.226282, -0.792151,132.367779
       45.,  0.530000,  0.470000,  0.210000, -0.842066,  0.842038,135.225021
       47.,  0.530000,  0.490000,  0.210000, -0.793126,  0.225061,132.368896
       49.,  0.530000,  0.510000,  0.210000, -0.791861, -0.225914,132.366989
       51.,  0.530000,  0.530000,  0.210000, -0.844611, -0.844644,135.208698
       80.,  0.019565,  0.019565,  0.210000,  0.000015,  0.000015, 24.937153
       82.,  0.039130,  0.019565,  0.210000,  0.000030,  0.000015, 24.936859
       84.,  0.058696,  0.019565,  0.210000,  0.000044,  0.000016, 24.936375
       86.,  0.078261,  0.019565,  0.210000,  0.000058,  0.000017, 24.935700
       88.,  0.097826,  0.019565,  0.210000,  0.000071,  0.000018, 24.934845
       90.,  0.117391,  0.019565,  0.210000,  0.000084,  0.000019, 24.933816
       92.,  0.136957,  0.019565,  0.210000,  0.000096,  0.000021, 24.932623
       94.,  0.156522,  0.019565,  0.210000,  0.000107,  0.000023, 24.931280
       96.,  0.176087,  0.019565,  0.210000,  0.000117,  0.000025, 24.929801
       98.,  0.195652,  0.019565,  0.210000,  0.000125,  0.000028, 24.928203
      100.,  0.215217,  0.019565,  0.210000,  0.000132,  0.000030, 24.926505
      102.,  0.234783,  0.019565,  0.210000,  0.000137,  0.000033, 24.924730
      104.,  0.254348,  0.019565,  0.210000,  0.000140,  0.000037, 24.922902
